7						
x	y	z	study	Contrast	Subjects	FixedRandom
-15	-4	-22	Hart2000	1	8	Fixed
10	-4	-22	Hart2000	1	8	Fixed
10	-4	-4	Hart2000	1	8	Fixed
7	39	36	Richeson2001	2	15	Fixed
13	32	19	Richeson2001	2	15	Fixed
7	18	32	Richeson2001	2	15	Fixed
40	47	28	Richeson2001	2	15	Fixed
34	58	19	Richeson2001	2	15	Fixed
-46	43	15	Richeson2001	2	15	Fixed
-40	37	25	Richeson2001	2	15	Fixed
28	67	-4	Richeson2001	2	15	Fixed
-1	3	53	Richeson2001	2	15	Fixed
41	12	6	Richeson2001	2	15	Fixed
18	-6	-12	Cunningham2001	3	13	Fixed
-21	30	39	Cunningham2001	3	13	Fixed
30	-6	-33	Cunningham2001	3	13	Fixed
-3	0	66	Cunningham2001	3	13	Fixed
-48	-6	54	Cunningham2001	3	13	Fixed
-6	36	24	Cunningham2001	4	13	Fixed
-9	18	33	Cunningham2001	4	13	Fixed
3	18	33	Cunningham2001	4	13	Fixed
57	30	-12	Cunningham2001	4	13	Fixed
27	48	24	Cunningham2001	4	13	Fixed
33	48	36	Cunningham2001	4	13	Fixed
24	60	27	Cunningham2001	4	13	Fixed
0	0	72	Cunningham2001	4	13	Fixed
-21	-8	-21	Wheeler2005	5	7	Fixed
25	2	-21	Ronquillo2007	6	11	Fixed
16	-6	24	Richeson2008	7	9	Fixed
-20	-4	-12	Forbes2011	8	21	Fixed
32	-2	-18	Forbes2011	8	21	Fixed
-34	54	-2	Forbes2011	8	21	Fixed
-32	54	0	Forbes2011	8	21	Fixed
-32	54	-2	Forbes2011	8	21	Fixed
26	50	-2	Forbes2011	8	21	Fixed
28	48	-4	Forbes2011	8	21	Fixed
28	60	-14	Forbes2011	8	21	Fixed
-48	34	22	Forbes2011	8	21	Fixed
-44	36	22	Forbes2011	8	21	Fixed
28	-2	56	Forbes2011	9	21	Fixed
-3	11	44	Mathur2012	10	20	Fixed
-3	-59	31	Mathur2012	10	20	Fixed
33	-94	1	Stanley2012	11	40	Random
-39	-82	-11	Stanley2012	11	40	Random
-18	-84	-2	Contreras2013	12	17	Random
47	-56	35	Contreras2013	12	17	Random
-6	18	46	Losin2011	13	20	Random
42	42	14	Losin2011	13	20	Random
-40	2	32	Losin2011	13	20	Random
22	2	70	Losin2011	13	20	Random
52	10	26	Losin2011	13	20	Random
-46	32	22	Losin2011	13	20	Random
-26	4	66	Losin2011	13	20	Random
28	-56	50	Losin2011	13	20	Random
54	-20	44	Losin2011	13	20	Random
-48	-34	54	Losin2011	13	20	Random
56	-56	-4	Losin2011	13	20	Random
-44	-46	-14	Losin2011	13	20	Random
-28	-72	-10	Losin2011	13	20	Random
30	-72	-8	Losin2011	13	20	Random
-30	-78	20	Losin2011	13	20	Random
36	-72	24	Losin2011	13	20	Random
-16	-52	-46	Losin2011	13	20	Random
27	3	3	Mathur2010	14	28	Random
-3	-44	-8	Mathur2010	14	28	Random
-45	15	2	Mathur2010	14	28	Random
-15	-9	-5	Mathur2010	14	28	Random
0	13	24	Mathur2010	14	28	Random
-18	9	-3	Mathur2010	14	28	Random
-53	-17	9	Mathur2010	14	28	Random
36	-99	-3	Mattan2018	15	60	Random
6	60	9	Mattan2018	15	60	Random
27	6	-21	Lieberman2005	16	20	Fixed
19	31	-16	Lieberman2005	16	20	Fixed
38	-22	-16	Lieberman2005	16	20	Fixed
15	3	-25	Lieberman2005	16	20	Fixed
-21	-99	-9	Cloutier2014	17	45	Random
-6	18	46	Losin2012	18	20	Random
42	42	14	Losin2012	18	20	Random
-40	2	32	Losin2012	18	20	Random
22	2	70	Losin2012	18	20	Random
52	10	26	Losin2012	18	20	Random
-46	32	22	Losin2012	18	20	Random
-26	4	66	Losin2012	18	20	Random
28	-56	50	Losin2012	18	20	Random
54	-20	44	Losin2012	18	20	Random
-48	-34	54	Losin2012	18	20	Random
56	-56	-4	Losin2012	18	20	Random
-44	-46	-14	Losin2012	18	20	Random
-28	-72	-10	Losin2012	18	20	Random
30	-72	-8	Losin2012	18	20	Random
-30	-78	20	Losin2012	18	20	Random
36	-72	24	Losin2012	18	20	Random
-16	-52	-46	Losin2012	18	20	Random
39	30	45	Hughes2019	19	18	Random
12	33	48	Hughes2019	19	18	Random
9	12	12	Hughes2019	19	18	Random
54	33	6	Hughes2019	19	18	Random
36	18	-9	Hughes2019	19	18	Random
57	-57	48	Hughes2019	19	18	Random
0	-90	60	Phelps2000	20	14	Fixed
0	-90	60	Brosch2013	21	19	Random
0	-90	60	Brown2017	22	19	Random
0	-90	60	Li2016	23	44	Random
0	-90	60	Firat2017	24	13	Random
