x,y,z,study,Contrast,Subjects,FixedRandom,CountyRacism,StateRacism,IAT
-15,-4,-22,Hart2000,1,8,Fixed,-0.652970664,-1.291025287,-0.639911872
10,-4,-22,Hart2000,1,8,Fixed,-0.652970664,-1.291025287,-0.639911872
10,-4,-4,Hart2000,1,8,Fixed,-0.652970664,-1.291025287,-0.639911872
7,39,36,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
13,32,19,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
7,18,32,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
40,47,28,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
34,58,19,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
-46,43,15,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
-40,37,25,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
28,67,-4,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
-1,3,53,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
41,12,6,Richeson2001,2,15,Fixed,-0.902163755,-0.213656557,0.312076618
18,-6,-12,Cunningham2001,3,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-21,30,39,Cunningham2001,3,13,Fixed,-0.574791679,-0.333587065,-0.094791955
30,-6,-33,Cunningham2001,3,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-3,0,66,Cunningham2001,3,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-48,-6,54,Cunningham2001,3,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-6,36,24,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-9,18,33,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
3,18,33,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
57,30,-12,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
27,48,24,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
33,48,36,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
24,60,27,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
0,0,72,Cunningham2001,4,13,Fixed,-0.574791679,-0.333587065,-0.094791955
-21,-8,-21,Wheeler2005,5,7,Fixed,-0.45486715,0.011414493,-0.026428667
25,2,-21,Ronquillo2007,6,11,Fixed,-0.314111498,-0.308645074,-0.601850204
16,-6,24,Richeson2008,7,9,Fixed,-0.37164416,0.417758123,-0.550965927
-20,-4,-12,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
32,-2,-18,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
-34,54,-2,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
-32,54,0,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
-32,54,-2,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
26,50,-2,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
28,48,-4,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
28,60,-14,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
-48,34,22,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
-44,36,22,Forbes2011,8,21,Fixed,-0.37082651,0.334494235,-0.220486544
28,-2,56,Forbes2011,9,21,Fixed,-0.37082651,0.334494235,-0.220486544
-3,11,44,Mathur2012,10,20,Fixed,-0.37164416,0.417758123,-0.550965927
-3,-59,31,Mathur2012,10,20,Fixed,-0.37164416,0.417758123,-0.550965927
33,-94,1,Stanley2012,11,40,Random,-0.68420149,-0.679305395,-0.388558061
-39,-82,-11,Stanley2012,11,40,Random,-0.68420149,-0.679305395,-0.388558061
-18,-84,-2,Contreras2013,12,17,Random,-0.531340284,-1.291025287,-0.070164847
47,-56,35,Contreras2013,12,17,Random,-0.531340284,-1.291025287,-0.070164847
-6,18,46,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
42,42,14,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-40,2,32,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
22,2,70,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
52,10,26,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-46,32,22,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-26,4,66,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
28,-56,50,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
54,-20,44,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-48,-34,54,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
56,-56,-4,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-44,-46,-14,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-28,-72,-10,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
30,-72,-8,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-30,-78,20,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
36,-72,24,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
-16,-52,-46,Losin2011,13,20,Random,-0.314111498,-0.308645074,-0.601850204
27,3,3,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
-3,-44,-8,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
-45,15,2,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
-15,-9,-5,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
0,13,24,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
-18,9,-3,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
-53,-17,9,Mathur2010,14,28,Random,-0.37164416,0.417758123,-0.550965927
